Date,Time,4-403           :PV,4-403           :SV,4-403           :INT Time,4-403           :INT Flow,4-404           :PV,4-404           :SV,4-404           :INT Time,4-404           :INT Flow,4-407-1         :PV,4-407-1         :SV,4-407-1         :INT Time,4-407-1         :INT Flow
20231211,14:58:42,0.00,0.00,04 01:01:15,1.750E+00,5.04,100.00,03 23:15:31,6.671E+03,5.46,0.00,04 01:00:42,7.178E+04
20231211,14:58:48,0.00,0.00,04 01:01:20,1.750E+00,4.98,100.00,03 23:15:37,6.671E+03,5.02,0.00,04 01:00:47,7.178E+04
20231211,14:58:53,0.00,0.00,04 01:01:25,1.750E+00,4.99,100.00,03 23:15:42,6.672E+03,5.10,0.00,04 01:00:53,7.178E+04
20231211,14:58:58,0.00,0.00,04 01:01:30,1.750E+00,5.02,100.00,03 23:15:47,6.672E+03,5.46,0.00,04 01:00:58,7.178E+04
20231211,14:59:03,0.00,0.00,04 01:01:36,1.750E+00,5.00,100.00,03 23:15:53,6.673E+03,5.46,0.00,04 01:01:04,7.178E+04
20231211,14:59:09,0.00,0.00,04 01:01:41,1.750E+00,4.99,100.00,03 23:15:58,6.673E+03,5.42,0.00,04 01:01:09,7.179E+04
20231211,14:59:14,0.00,0.00,04 01:01:46,1.750E+00,4.99,100.00,03 23:16:03,6.674E+03,5.41,0.00,04 01:01:14,7.179E+04
20231211,14:59:19,0.00,0.00,04 01:01:51,1.750E+00,5.01,100.00,03 23:16:08,6.674E+03,5.40,0.00,04 01:01:19,7.179E+04
20231211,14:59:25,0.00,0.00,04 01:01:57,1.750E+00,4.99,100.00,03 23:16:14,6.675E+03,5.41,0.00,04 01:01:25,7.179E+04
20231211,14:59:30,0.00,0.00,04 01:02:03,1.750E+00,5.00,100.00,03 23:16:19,6.675E+03,5.40,0.00,04 01:01:30,7.179E+04
20231211,14:59:35,0.00,0.00,04 01:02:08,1.750E+00,4.99,100.00,03 23:16:24,6.675E+03,5.40,0.00,04 01:01:35,7.179E+04
20231211,14:59:40,0.00,0.00,04 01:02:13,1.750E+00,5.01,100.00,03 23:16:29,6.676E+03,5.40,0.00,04 01:01:40,7.179E+04
20231211,14:59:46,0.00,0.00,04 01:02:18,1.750E+00,5.00,100.00,03 23:16:35,6.676E+03,5.41,0.00,04 01:01:46,7.179E+04
20231211,14:59:51,0.00,0.00,04 01:02:24,1.750E+00,4.99,100.00,03 23:16:40,6.677E+03,5.36,0.00,04 01:01:51,7.179E+04
20231211,14:59:56,0.00,0.00,04 01:02:29,1.750E+00,4.99,100.00,03 23:16:45,6.677E+03,5.38,0.00,04 01:01:56,7.179E+04
20231211,15:00:02,0.00,0.00,04 01:02:34,1.750E+00,4.98,100.00,03 23:16:50,6.678E+03,5.39,0.00,04 01:02:01,7.179E+04
20231211,15:00:07,0.00,0.00,04 01:02:39,1.750E+00,4.99,100.00,03 23:16:56,6.678E+03,5.39,0.00,04 01:02:07,7.179E+04
20231211,15:00:12,0.00,0.00,04 01:02:45,1.750E+00,4.98,100.00,03 23:17:01,6.678E+03,5.36,0.00,04 01:02:12,7.179E+04
20231211,15:00:17,0.00,0.00,04 01:02:50,1.750E+00,4.96,100.00,03 23:17:07,6.679E+03,5.38,0.00,04 01:02:17,7.179E+04
20231211,15:00:23,0.00,0.00,04 01:02:55,1.750E+00,4.96,100.00,03 23:17:12,6.679E+03,5.38,0.00,04 01:02:22,7.179E+04
20231211,15:00:28,0.00,0.00,04 01:03:00,1.750E+00,4.97,100.00,03 23:17:17,6.680E+03,5.38,0.00,04 01:02:28,7.179E+04
20231211,15:00:33,0.00,0.00,04 01:03:06,1.750E+00,4.99,100.00,03 23:17:23,6.680E+03,5.39,0.00,04 01:02:33,7.179E+04
20231211,15:00:38,0.00,0.00,04 01:03:11,1.750E+00,4.95,100.00,03 23:17:28,6.681E+03,5.12,0.00,04 01:02:38,7.179E+04
20231211,15:00:44,0.00,0.00,04 01:03:16,1.750E+00,4.96,100.00,03 23:17:33,6.681E+03,5.38,0.00,04 01:02:44,7.179E+04
20231211,15:00:49,0.00,0.00,04 01:03:22,1.750E+00,4.98,100.00,03 23:17:38,6.682E+03,5.43,0.00,04 01:02:49,7.179E+04
20231211,15:00:54,0.00,0.00,04 01:03:27,1.750E+00,4.98,100.00,03 23:17:44,6.682E+03,5.39,0.00,04 01:02:54,7.179E+04
20231211,15:01:00,0.00,0.00,04 01:03:32,1.750E+00,4.97,100.00,03 23:17:49,6.682E+03,5.41,0.00,04 01:03:00,7.180E+04
20231211,15:01:05,0.00,0.00,04 01:03:37,1.750E+00,4.97,100.00,03 23:17:54,6.683E+03,5.39,0.00,04 01:03:05,7.180E+04
20231211,15:01:10,0.00,0.00,04 01:03:43,1.750E+00,4.97,100.00,03 23:17:59,6.683E+03,5.41,0.00,04 01:03:10,7.180E+04
20231211,15:01:15,0.00,0.00,04 01:03:48,1.750E+00,4.96,100.00,03 23:18:05,6.684E+03,5.39,0.00,04 01:03:16,7.180E+04
20231211,15:01:21,0.00,0.00,04 01:03:53,1.750E+00,4.95,100.00,03 23:18:10,6.684E+03,5.38,0.00,04 01:03:21,7.180E+04
20231211,15:01:26,0.00,0.00,04 01:03:58,1.750E+00,4.96,100.00,03 23:18:15,6.685E+03,5.39,0.00,04 01:03:26,7.180E+04
20231211,15:01:31,0.00,0.00,04 01:04:04,1.750E+00,4.96,100.00,03 23:18:20,6.685E+03,5.42,0.00,04 01:03:32,7.180E+04
20231211,15:01:37,0.00,0.00,04 01:04:09,1.750E+00,4.98,100.00,03 23:18:26,6.685E+03,5.39,0.00,04 01:03:37,7.180E+04
20231211,15:01:42,0.00,0.00,04 01:04:14,1.750E+00,4.95,100.00,03 23:18:31,6.686E+03,5.38,0.00,04 01:03:42,7.180E+04
20231211,15:01:47,0.00,0.00,04 01:04:19,1.750E+00,4.95,100.00,03 23:18:36,6.686E+03,5.40,0.00,04 01:03:47,7.180E+04
20231211,15:01:52,0.00,0.00,04 01:04:25,1.750E+00,4.97,100.00,03 23:18:41,6.687E+03,5.40,0.00,04 01:03:53,7.180E+04
20231211,15:01:58,0.00,0.00,04 01:04:31,1.750E+00,4.97,100.00,03 23:18:47,6.687E+03,5.37,0.00,04 01:03:58,7.180E+04
20231211,15:02:03,0.00,0.00,04 01:04:36,1.750E+00,4.96,100.00,03 23:18:52,6.688E+03,5.41,0.00,04 01:04:03,7.180E+04
20231211,15:02:08,0.00,0.00,04 01:04:41,1.750E+00,4.97,100.00,03 23:18:57,6.688E+03,5.40,0.00,04 01:04:08,7.180E+04
20231211,15:02:14,0.00,0.00,04 01:04:46,1.750E+00,4.96,100.00,03 23:19:02,6.688E+03,5.41,0.00,04 01:04:14,7.180E+04
20231211,15:02:19,0.00,0.00,04 01:04:52,1.750E+00,4.97,100.00,03 23:19:08,6.689E+03,5.38,0.00,04 01:04:19,7.180E+04
20231211,15:02:24,0.00,0.00,04 01:04:57,1.750E+00,4.96,100.00,03 23:19:13,6.689E+03,5.39,0.00,04 01:04:24,7.180E+04
20231211,15:02:29,0.00,0.00,04 01:05:02,1.750E+00,4.95,100.00,03 23:19:18,6.690E+03,5.87,0.00,04 01:04:29,7.180E+04
20231211,15:02:35,0.00,0.00,04 01:05:07,1.750E+00,4.95,100.00,03 23:19:24,6.690E+03,16.72,0.00,04 01:04:35,7.180E+04
20231211,15:02:40,0.00,0.00,04 01:05:13,1.750E+00,4.96,100.00,03 23:19:29,6.691E+03,17.53,0.00,04 01:04:40,7.181E+04
20231211,15:02:45,0.00,0.00,04 01:05:18,1.750E+00,4.97,100.00,03 23:19:35,6.691E+03,16.95,0.00,04 01:04:45,7.181E+04
20231211,15:02:51,0.00,0.00,04 01:05:23,1.750E+00,4.93,100.00,03 23:19:40,6.692E+03,16.69,0.00,04 01:04:50,7.181E+04
20231211,15:02:56,0.00,0.00,04 01:05:28,1.750E+00,4.96,100.00,03 23:19:45,6.692E+03,16.61,0.00,04 01:04:56,7.181E+04
20231211,15:03:01,0.00,0.00,04 01:05:34,1.750E+00,4.95,100.00,03 23:19:50,6.692E+03,16.53,0.00,04 01:05:01,7.181E+04
20231211,15:03:06,0.00,0.00,04 01:05:39,1.750E+00,4.97,100.00,03 23:19:56,6.693E+03,16.49,0.00,04 01:05:06,7.181E+04
20231211,15:03:12,0.00,0.00,04 01:05:44,1.750E+00,4.96,100.00,03 23:20:01,6.693E+03,16.58,0.00,04 01:05:11,7.181E+04
20231211,15:03:17,0.00,0.00,04 01:05:49,1.750E+00,4.94,100.00,03 23:20:06,6.694E+03,16.53,0.00,04 01:05:17,7.182E+04
20231211,15:03:22,0.00,0.00,04 01:05:55,1.750E+00,4.95,100.00,03 23:20:11,6.694E+03,16.58,0.00,04 01:05:23,7.182E+04
20231211,15:03:28,0.00,0.00,04 01:06:00,1.750E+00,4.91,100.00,03 23:20:17,6.695E+03,16.74,0.00,04 01:05:28,7.182E+04
20231211,15:03:33,0.00,0.00,04 01:06:05,1.750E+00,4.78,100.00,03 23:20:22,6.695E+03,16.88,0.00,04 01:05:33,7.182E+04
20231211,15:03:38,0.00,0.00,04 01:06:10,1.750E+00,4.71,100.00,03 23:20:27,6.695E+03,16.91,0.00,04 01:05:38,7.182E+04
20231211,15:03:43,0.00,0.00,04 01:06:16,1.750E+00,4.63,100.00,03 23:20:32,6.696E+03,16.87,0.00,04 01:05:44,7.182E+04
20231211,15:03:49,0.00,0.00,04 01:06:21,1.750E+00,4.55,100.00,03 23:20:38,6.696E+03,16.88,0.00,04 01:05:49,7.183E+04
20231211,15:03:54,0.00,0.00,04 01:06:26,1.750E+00,4.46,100.00,03 23:20:43,6.697E+03,16.89,0.00,04 01:05:54,7.183E+04
20231211,15:03:59,0.00,0.00,04 01:06:32,1.750E+00,4.34,100.00,03 23:20:48,6.697E+03,16.83,0.00,04 01:05:59,7.183E+04
20231211,15:04:05,0.00,0.00,04 01:06:37,1.750E+00,4.28,100.00,03 23:20:54,6.697E+03,16.85,0.00,04 01:06:05,7.183E+04
20231211,15:04:10,0.00,0.00,04 01:06:42,1.750E+00,4.18,100.00,03 23:20:59,6.698E+03,16.86,0.00,04 01:06:10,7.183E+04
20231211,15:04:15,0.00,0.00,04 01:06:48,1.750E+00,4.11,100.00,03 23:21:04,6.698E+03,16.87,0.00,04 01:06:15,7.183E+04
20231211,15:04:20,0.00,0.00,04 01:06:53,1.750E+00,4.06,100.00,03 23:21:09,6.699E+03,16.86,0.00,04 01:06:20,7.183E+04
20231211,15:04:26,0.00,0.00,04 01:06:58,1.750E+00,3.99,100.00,03 23:21:15,6.699E+03,16.81,0.00,04 01:06:26,7.184E+04
20231211,15:04:31,0.00,0.00,04 01:07:04,1.750E+00,3.90,100.00,03 23:21:20,6.699E+03,16.75,0.00,04 01:06:31,7.184E+04
20231211,15:04:36,0.00,0.00,04 01:07:09,1.750E+00,3.80,100.00,03 23:21:25,6.700E+03,16.73,0.00,04 01:06:36,7.184E+04
20231211,15:04:42,0.00,0.00,04 01:07:14,1.750E+00,6.21,100.00,03 23:21:30,6.700E+03,16.66,0.00,04 01:06:41,7.184E+04
20231211,15:04:47,0.00,0.00,04 01:07:19,1.750E+00,7.05,100.00,03 23:21:36,6.701E+03,16.63,0.00,04 01:06:47,7.184E+04
20231211,15:04:52,0.00,0.00,04 01:07:25,1.750E+00,7.57,100.00,03 23:21:41,6.701E+03,16.62,0.00,04 01:06:52,7.184E+04
20231211,15:04:57,0.00,0.00,04 01:07:30,1.750E+00,7.49,100.00,03 23:21:47,6.702E+03,16.63,0.00,04 01:06:57,7.184E+04
20231211,15:05:03,0.00,0.00,04 01:07:35,1.750E+00,7.27,100.00,03 23:21:52,6.703E+03,16.59,0.00,04 01:07:02,7.185E+04
20231211,15:05:08,0.00,0.00,04 01:07:40,1.750E+00,7.10,100.00,03 23:21:57,6.703E+03,16.58,0.00,04 01:07:08,7.185E+04
20231211,15:05:13,0.00,0.00,04 01:07:46,1.750E+00,6.96,100.00,03 23:22:02,6.704E+03,16.60,0.00,04 01:07:13,7.185E+04
20231211,15:05:19,0.00,0.00,04 01:07:51,1.750E+00,6.87,100.00,03 23:22:08,6.704E+03,16.61,0.00,04 01:07:18,7.185E+04
20231211,15:05:24,0.00,0.00,04 01:07:56,1.750E+00,6.73,100.00,03 23:22:13,6.705E+03,16.57,0.00,04 01:07:23,7.185E+04
20231211,15:05:29,0.00,0.00,04 01:08:01,1.750E+00,6.59,100.00,03 23:22:18,6.706E+03,16.58,0.00,04 01:07:29,7.185E+04
20231211,15:05:34,0.00,0.00,04 01:08:07,1.750E+00,6.50,100.00,03 23:22:24,6.706E+03,16.56,0.00,04 01:07:35,7.185E+04
20231211,15:05:40,0.00,0.00,04 01:08:12,1.750E+00,6.40,100.00,03 23:22:29,6.707E+03,16.36,0.00,04 01:07:40,7.186E+04
20231211,15:05:45,0.00,0.00,04 01:08:17,1.750E+00,6.29,100.00,03 23:22:34,6.707E+03,16.51,0.00,04 01:07:45,7.186E+04
20231211,15:05:50,0.00,0.00,04 01:08:22,1.750E+00,6.18,100.00,03 23:22:39,6.708E+03,16.62,0.00,04 01:07:50,7.186E+04
20231211,15:05:55,0.00,0.00,04 01:08:28,1.750E+00,6.07,100.00,03 23:22:45,6.708E+03,16.63,0.00,04 01:07:56,7.186E+04
20231211,15:06:01,0.00,0.00,04 01:08:33,1.750E+00,5.96,100.00,03 23:22:50,6.709E+03,16.60,0.00,04 01:08:01,7.186E+04
20231211,15:06:06,0.00,0.00,04 01:08:39,1.750E+00,5.84,100.00,03 23:22:55,6.709E+03,16.61,0.00,04 01:08:06,7.186E+04
20231211,15:06:11,0.00,0.00,04 01:08:44,1.750E+00,5.76,100.00,03 23:23:00,6.710E+03,16.59,0.00,04 01:08:11,7.186E+04
20231211,15:06:17,0.00,0.00,04 01:08:49,1.750E+00,5.67,100.00,03 23:23:06,6.710E+03,16.61,0.00,04 01:08:17,7.187E+04
20231211,15:06:22,0.00,0.00,04 01:08:55,1.750E+00,5.53,100.00,03 23:23:11,6.711E+03,16.63,0.00,04 01:08:22,7.187E+04
20231211,15:06:27,0.00,0.00,04 01:09:00,1.750E+00,5.43,100.00,03 23:23:16,6.711E+03,16.59,0.00,04 01:08:27,7.187E+04
20231211,15:06:32,0.00,0.00,04 01:09:05,1.750E+00,5.31,100.00,03 23:23:21,6.712E+03,16.64,0.00,04 01:08:32,7.187E+04
20231211,15:06:38,0.00,0.00,04 01:09:10,1.750E+00,5.21,100.00,03 23:23:27,6.712E+03,16.63,0.00,04 01:08:38,7.187E+04
20231211,15:06:43,0.00,0.00,04 01:09:16,1.750E+00,5.12,100.00,03 23:23:32,6.713E+03,16.62,0.00,04 01:08:43,7.187E+04
20231211,15:06:48,0.00,0.00,04 01:09:21,1.750E+00,5.01,100.00,03 23:23:38,6.713E+03,16.58,0.00,04 01:08:48,7.187E+04
20231211,15:06:54,0.00,0.00,04 01:09:26,1.750E+00,5.27,100.00,03 23:23:43,6.714E+03,16.62,0.00,04 01:08:53,7.188E+04
20231211,15:06:59,0.00,0.00,04 01:09:31,1.750E+00,5.11,100.00,03 23:23:48,6.714E+03,16.64,0.00,04 01:08:59,7.188E+04
20231211,15:07:04,0.00,0.00,04 01:09:37,1.750E+00,4.99,100.00,03 23:23:53,6.715E+03,16.61,0.00,04 01:09:04,7.188E+04
20231211,15:07:09,0.00,0.00,04 01:09:42,1.750E+00,4.89,100.00,03 23:23:59,6.715E+03,16.63,0.00,04 01:09:09,7.188E+04
20231211,15:07:15,0.00,0.00,04 01:09:47,1.750E+00,4.78,100.00,03 23:24:04,6.715E+03,16.60,0.00,04 01:09:14,7.188E+04
20231211,15:07:20,0.00,0.00,04 01:09:52,1.750E+00,4.69,100.00,03 23:24:09,6.716E+03,16.62,0.00,04 01:09:20,7.188E+04
20231211,15:07:25,0.00,0.00,04 01:09:58,1.750E+00,4.58,100.00,03 23:24:15,6.716E+03,16.60,0.00,04 01:09:26,7.188E+04
20231211,15:07:31,0.00,0.00,04 01:10:03,1.750E+00,4.47,100.00,03 23:24:20,6.717E+03,16.62,0.00,04 01:09:31,7.189E+04
20231211,15:07:36,0.00,0.00,04 01:10:08,1.750E+00,4.40,100.00,03 23:24:25,6.717E+03,16.62,0.00,04 01:09:36,7.189E+04
20231211,15:07:41,0.00,0.00,04 01:10:14,1.750E+00,4.28,100.00,03 23:24:30,6.717E+03,16.44,0.00,04 01:09:41,7.189E+04
20231211,15:07:46,0.00,0.00,04 01:10:19,1.750E+00,4.22,100.00,03 23:24:36,6.718E+03,16.60,0.00,04 01:09:47,7.189E+04
20231211,15:07:52,0.00,0.00,04 01:10:24,1.750E+00,4.14,100.00,03 23:24:41,6.718E+03,16.60,0.00,04 01:09:52,7.189E+04
20231211,15:07:57,0.00,0.00,04 01:10:29,1.750E+00,4.06,100.00,03 23:24:46,6.719E+03,16.62,0.00,04 01:09:57,7.189E+04
20231211,15:08:02,0.00,0.00,04 01:10:35,1.750E+00,3.96,100.00,03 23:24:51,6.719E+03,16.63,0.00,04 01:10:02,7.189E+04
20231211,15:08:08,0.00,0.00,04 01:10:40,1.750E+00,3.89,100.00,03 23:24:57,6.719E+03,16.48,0.00,04 01:10:08,7.190E+04
20231211,15:08:13,0.00,0.00,04 01:10:46,1.750E+00,3.80,100.00,03 23:25:02,6.720E+03,16.53,0.00,04 01:10:13,7.190E+04
20231211,15:08:18,0.00,0.00,04 01:10:51,1.750E+00,3.75,100.00,03 23:25:07,6.720E+03,16.60,0.00,04 01:10:18,7.190E+04
20231211,15:08:23,0.00,0.00,04 01:10:56,1.750E+00,3.66,100.00,03 23:25:12,6.720E+03,16.61,0.00,04 01:10:23,7.190E+04
20231211,15:08:29,0.00,0.00,04 01:11:01,1.750E+00,3.61,100.00,03 23:25:18,6.721E+03,16.64,0.00,04 01:10:29,7.190E+04
20231211,15:08:34,0.00,0.00,04 01:11:07,1.750E+00,3.53,100.00,03 23:25:23,6.721E+03,16.60,0.00,04 01:10:34,7.190E+04
20231211,15:08:39,0.00,0.00,04 01:11:12,1.750E+00,3.46,100.00,03 23:25:28,6.721E+03,16.63,0.00,04 01:10:39,7.190E+04
20231211,15:08:45,0.00,0.00,04 01:11:17,1.750E+00,3.43,100.00,03 23:25:33,6.721E+03,16.60,0.00,04 01:10:45,7.191E+04
20231211,15:08:50,0.00,0.00,04 01:11:22,1.750E+00,3.36,100.00,03 23:25:39,6.722E+03,16.64,0.00,04 01:10:50,7.191E+04
20231211,15:08:55,0.00,0.00,04 01:11:28,1.750E+00,3.31,100.00,03 23:25:44,6.722E+03,16.63,0.00,04 01:10:55,7.191E+04
20231211,15:09:00,0.00,0.00,04 01:11:33,1.750E+00,3.27,100.00,03 23:25:49,6.722E+03,16.62,0.00,04 01:11:00,7.191E+04
20231211,15:09:06,0.00,0.00,04 01:11:38,1.750E+00,3.23,100.00,03 23:25:55,6.723E+03,16.62,0.00,04 01:11:06,7.191E+04
20231211,15:09:11,0.00,0.00,04 01:11:44,1.750E+00,3.16,100.00,03 23:26:00,6.723E+03,16.60,0.00,04 01:11:11,7.191E+04
20231211,15:09:16,0.00,0.00,04 01:11:49,1.750E+00,3.13,100.00,03 23:26:06,6.723E+03,16.63,0.00,04 01:11:16,7.192E+04
20231211,15:09:22,0.00,0.00,04 01:11:54,1.750E+00,3.13,100.00,03 23:26:11,6.724E+03,16.63,0.00,04 01:11:21,7.192E+04
20231211,15:09:27,0.00,0.00,04 01:11:59,1.750E+00,3.06,100.00,03 23:26:16,6.724E+03,16.63,0.00,04 01:11:27,7.192E+04
20231211,15:09:32,0.00,0.00,04 01:12:05,1.750E+00,3.04,100.00,03 23:26:21,6.724E+03,16.63,0.00,04 01:11:32,7.192E+04
20231211,15:09:37,0.00,0.00,04 01:12:10,1.750E+00,3.01,100.00,03 23:26:27,6.724E+03,16.62,0.00,04 01:11:38,7.192E+04
20231211,15:09:43,0.00,0.00,04 01:12:15,1.750E+00,2.99,100.00,03 23:26:32,6.725E+03,16.44,0.00,04 01:11:43,7.192E+04
20231211,15:09:48,0.00,0.00,04 01:12:20,1.750E+00,2.96,100.00,03 23:26:37,6.725E+03,16.58,0.00,04 01:11:48,7.192E+04
20231211,15:09:53,0.00,0.00,04 01:12:26,1.750E+00,2.90,100.00,03 23:26:42,6.725E+03,16.61,0.00,04 01:11:53,7.193E+04
20231211,15:09:59,0.00,0.00,04 01:12:31,1.750E+00,2.90,100.00,03 23:26:48,6.725E+03,16.61,0.00,04 01:11:59,7.193E+04
20231211,15:10:04,0.00,0.00,04 01:12:36,1.750E+00,2.86,100.00,03 23:26:53,6.726E+03,16.61,0.00,04 01:12:04,7.193E+04
20231211,15:10:09,0.00,0.00,04 01:12:42,1.750E+00,2.86,100.00,03 23:26:58,6.726E+03,16.63,0.00,04 01:12:09,7.193E+04
20231211,15:10:14,0.00,0.00,04 01:12:47,1.750E+00,2.85,100.00,03 23:27:03,6.726E+03,16.80,0.00,04 01:12:14,7.193E+04
20231211,15:10:20,0.00,0.00,04 01:12:52,1.750E+00,2.85,100.00,03 23:27:09,6.726E+03,17.08,0.00,04 01:12:20,7.193E+04
20231211,15:10:25,0.00,0.00,04 01:12:58,1.750E+00,2.81,100.00,03 23:27:14,6.727E+03,17.00,0.00,04 01:12:25,7.193E+04
20231211,15:10:30,0.00,0.00,04 01:13:03,1.750E+00,2.80,100.00,03 23:27:19,6.727E+03,16.93,0.00,04 01:12:30,7.194E+04
20231211,15:10:36,0.00,0.00,04 01:13:08,1.750E+00,2.80,100.00,03 23:27:24,6.727E+03,16.85,0.00,04 01:12:35,7.194E+04
20231211,15:10:41,0.00,0.00,04 01:13:13,1.750E+00,2.78,100.00,03 23:27:30,6.727E+03,16.81,0.00,04 01:12:41,7.194E+04
20231211,15:10:46,0.00,0.00,04 01:13:19,1.750E+00,2.78,100.00,03 23:27:35,6.728E+03,16.52,0.00,04 01:12:46,7.194E+04
20231211,15:10:51,0.00,0.00,04 01:13:24,1.750E+00,2.77,100.00,03 23:27:41,6.728E+03,16.74,0.00,04 01:12:51,7.194E+04
20231211,15:10:57,0.00,0.00,04 01:13:29,1.750E+00,2.75,100.00,03 23:27:46,6.728E+03,16.78,0.00,04 01:12:57,7.194E+04
20231211,15:11:02,0.00,0.00,04 01:13:35,1.750E+00,2.71,100.00,03 23:27:51,6.728E+03,16.62,0.00,04 01:13:02,7.194E+04
20231211,15:11:07,0.00,0.00,04 01:13:40,1.750E+00,2.71,100.00,03 23:27:57,6.729E+03,16.71,0.00,04 01:13:07,7.195E+04
20231211,15:11:13,0.00,0.00,04 01:13:45,1.750E+00,2.74,100.00,03 23:28:02,6.729E+03,16.72,0.00,04 01:13:12,7.195E+04
20231211,15:11:18,0.00,0.00,04 01:13:50,1.750E+00,2.71,100.00,03 23:28:07,6.729E+03,16.70,0.00,04 01:13:18,7.195E+04
20231211,15:11:23,0.00,0.00,04 01:13:56,1.750E+00,2.72,100.00,03 23:28:12,6.729E+03,16.71,0.00,04 01:13:23,7.195E+04
20231211,15:11:28,0.00,0.00,04 01:14:01,1.750E+00,2.71,100.00,03 23:28:18,6.730E+03,16.70,0.00,04 01:13:29,7.195E+04
20231211,15:11:34,0.00,0.00,04 01:14:06,1.750E+00,2.69,100.00,03 23:28:23,6.730E+03,16.71,0.00,04 01:13:34,7.195E+04
20231211,15:11:39,0.00,0.00,04 01:14:11,1.750E+00,2.65,100.00,03 23:28:28,6.730E+03,16.31,0.00,04 01:13:39,7.195E+04
20231211,15:11:44,0.00,0.00,04 01:14:17,1.750E+00,2.71,100.00,03 23:28:33,6.730E+03,16.65,0.00,04 01:13:44,7.196E+04
20231211,15:11:50,0.00,0.00,04 01:14:22,1.750E+00,2.88,100.00,03 23:28:39,6.731E+03,16.66,0.00,04 01:13:50,7.196E+04
